# log10mustar log10mustar_err log10lambda log10lambda_err
1.247944831848144531e+01 1.035264953970909119e-01 1.453921794891357422e+00 5.576117336750030518e-02
1.242466545104980469e+01 1.234252601861953735e-01 1.356969594955444336e+00 3.550389036536216736e-02
1.248055362701416016e+01 1.171109080314636230e-01 1.339134931564331055e+00 5.045640468597412109e-02
1.245756435394287109e+01 9.202355891466140747e-02 1.334252715110778809e+00 4.186349734663963318e-02
1.084980773925781250e+01 1.133076697587966919e-01 1.351990342140197754e+00 5.889705941081047058e-02
1.237539577484130859e+01 1.329809278249740601e-01 1.331790804862976074e+00 4.686477407813072205e-02
1.244020366668701172e+01 9.303316473960876465e-02 1.475950241088867188e+00 5.314522609114646912e-02
1.238569927215576172e+01 1.172939091920852661e-01 1.450413227081298828e+00 5.612488090991973877e-02
1.244260501861572266e+01 1.155140846967697144e-01 1.361027717590332031e+00 4.017619043588638306e-02
1.234908294677734375e+01 2.081302553415298462e-01 1.356678247451782227e+00 3.524702787399291992e-02
1.249189758300781250e+01 1.853434890508651733e-01 1.351105690002441406e+00 4.590142145752906799e-02
1.218203735351562500e+01 1.202943027019500732e-01 1.331482052803039551e+00 3.815415501594543457e-02
1.244734382629394531e+01 1.211555749177932739e-01 1.403853297233581543e+00 3.388510271906852722e-02
1.231418800354003906e+01 1.717853695154190063e-01 1.382144451141357422e+00 4.087352007627487183e-02
1.241548347473144531e+01 9.639076143503189087e-02 1.459476947784423828e+00 5.184006690979003906e-02
1.235165691375732422e+01 1.518622040748596191e-01 1.323377490043640137e+00 4.264442995190620422e-02
1.232595252990722656e+01 1.506761014461517334e-01 1.388148903846740723e+00 4.266802594065666199e-02
1.244382286071777344e+01 1.980782896280288696e-01 1.376613020896911621e+00 3.790359944105148315e-02
1.243041801452636719e+01 6.088783219456672668e-02 1.313834071159362793e+00 3.647935390472412109e-02
1.248596668243408203e+01 8.102020621299743652e-02 1.381594538688659668e+00 4.335578531026840210e-02
1.213732814788818359e+01 1.167661324143409729e-01 1.388961195945739746e+00 5.443575233221054077e-02
1.230278778076171875e+01 8.396644890308380127e-02 1.331482052803039551e+00 4.258238151669502258e-02
1.230282592773437500e+01 1.998888254165649414e-01 1.352284789085388184e+00 4.545529931783676147e-02
1.233763408660888672e+01 2.083277255296707153e-01 1.366190195083618164e+00 3.383752331137657166e-02
1.247501087188720703e+01 1.373706907033920288e-01 1.387063264846801758e+00 4.475729167461395264e-02
1.143223381042480469e+01 9.042843431234359741e-02 1.331173181533813477e+00 4.738058149814605713e-02
1.242524242401123047e+01 1.366797685623168945e-01 1.339438199996948242e+00 4.493687301874160767e-02
1.227242565155029297e+01 1.603211760520935059e-01 1.430715918540954590e+00 4.323300719261169434e-02
1.219565296173095703e+01 1.128278225660324097e-01 1.371573686599731445e+00 4.760491475462913513e-02
1.224316978454589844e+01 2.268791198730468750e-01 1.387063264846801758e+00 4.117584601044654846e-02
1.247781085968017578e+01 1.524210274219512939e-01 1.331482052803039551e+00 3.589948639273643494e-02
1.233322811126708984e+01 1.022720187902450562e-01 1.403591871261596680e+00 6.098429113626480103e-02
1.238442707061767578e+01 1.176218688488006592e-01 1.360161304473876953e+00 5.536837503314018250e-02
1.234798240661621094e+01 1.524409204721450806e-01 1.359872102737426758e+00 4.548368975520133972e-02
1.204657840728759766e+01 1.498040705919265747e-01 1.324634194374084473e+00 4.305799677968025208e-02
1.247124290466308594e+01 8.719627559185028076e-02 1.380768179893493652e+00 3.727941960096359253e-02
1.214964675903320312e+01 1.250439584255218506e-01 1.366190195083618164e+00 4.063383117318153381e-02
1.224245071411132812e+01 1.216601282358169556e-01 1.375777125358581543e+00 3.885771706700325012e-02
1.242993450164794922e+01 7.134366780519485474e-02 1.460854768753051758e+00 5.028023198246955872e-02
1.236900234222412109e+01 9.516229480504989624e-02 1.310929656028747559e+00 3.908003494143486023e-02
1.235121822357177734e+01 1.048395708203315735e-01 1.472392797470092773e+00 6.096175312995910645e-02
1.244240951538085938e+01 9.510263800621032715e-02 1.361316084861755371e+00 6.167296692728996277e-02
1.251579475402832031e+01 1.118767037987709045e-01 1.414186358451843262e+00 4.290426149964332581e-02
1.238741302490234375e+01 1.206152215600013733e-01 1.380768179893493652e+00 4.865938052535057068e-02
1.229005813598632812e+01 1.722818911075592041e-01 1.478379249572753906e+00 5.578436329960823059e-02
1.228144931793212891e+01 1.645430177450180054e-01 1.384883999824523926e+00 4.598313942551612854e-02
1.239327716827392578e+01 2.350736260414123535e-01 1.330864071846008301e+00 3.908508270978927612e-02
1.247454738616943359e+01 8.706372976303100586e-02 1.390311837196350098e+00 4.096232354640960693e-02
1.201150035858154297e+01 9.658686071634292603e-02 1.341555595397949219e+00 6.560401618480682373e-02
1.243247127532958984e+01 1.426502466201782227e-01 1.389772057533264160e+00 4.232095927000045776e-02
1.239008426666259766e+01 1.571379601955413818e-01 1.376891255378723145e+00 4.209548234939575195e-02
1.246214199066162109e+01 1.629192978143692017e-01 1.379387497901916504e+00 4.370806738734245300e-02
1.236988162994384766e+01 2.032056748867034912e-01 1.357260704040527344e+00 4.107154905796051025e-02
1.222013759613037109e+01 9.750400483608245850e-02 1.412651896476745605e+00 4.345050826668739319e-02
1.245071220397949219e+01 1.377523541450500488e-01 1.390311837196350098e+00 3.879309818148612976e-02
1.227677536010742188e+01 1.209893077611923218e-01 1.400441527366638184e+00 6.072328984737396240e-02
1.205212688446044922e+01 1.087386459112167358e-01 1.376891255378723145e+00 6.603861600160598755e-02
1.251733684539794922e+01 1.264194250106811523e-01 1.342459917068481445e+00 4.262671992182731628e-02
1.227606678009033203e+01 2.551884949207305908e-01 1.419009685516357422e+00 4.047179967164993286e-02
1.246389675140380859e+01 1.193347349762916565e-01 1.303088307380676270e+00 4.304111748933792114e-02
1.229623031616210938e+01 1.144761145114898682e-01 1.408016085624694824e+00 4.340100288391113281e-02
1.228319549560546875e+01 1.348172277212142944e-01 1.342760920524597168e+00 3.986951336264610291e-02
1.224064922332763672e+01 9.871529042720794678e-02 1.376334547996520996e+00 3.741434216499328613e-02
1.240872001647949219e+01 8.411642909049987793e-02 1.325261235237121582e+00 4.244917631149291992e-02
1.236298084259033203e+01 1.561390757560729980e-01 1.382419228553771973e+00 3.825994208455085754e-02
1.250339698791503906e+01 1.006560102105140686e-01 1.439955115318298340e+00 4.711451008915901184e-02
1.230391311645507812e+01 1.070115566253662109e-01 1.355510950088500977e+00 4.375613480806350708e-02
1.248917388916015625e+01 8.215668797492980957e-02 1.334865927696228027e+00 4.089264199137687683e-02
1.220646476745605469e+01 1.653037369251251221e-01 1.362755298614501953e+00 6.141545251011848450e-02
1.217063426971435547e+01 1.169640272855758667e-01 1.348737835884094238e+00 6.549434363842010498e-02
1.247873497009277344e+01 1.133407130837440491e-01 1.345460653305053711e+00 3.953386843204498291e-02
1.242461585998535156e+01 3.517656624317169189e-01 1.402281999588012695e+00 4.422227293252944946e-02
1.234180545806884766e+01 1.176175028085708618e-01 1.303747177124023438e+00 4.407475888729095459e-02
1.203201866149902344e+01 8.861191570758819580e-02 1.337310552597045898e+00 4.939327016472816467e-02
1.248200988769531250e+01 1.665354371070861816e-01 1.440436005592346191e+00 6.356871128082275391e-02
1.218530273437500000e+01 1.138170957565307617e-01 1.370728015899658203e+00 4.486152157187461853e-02
1.231258773803710938e+01 8.481844514608383179e-02 1.481669664382934570e+00 4.771710559725761414e-02
